epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.3412,0.89108,1.57116,1.00963,0.90502,1,0.96567,0.60917,1.17667,1.2195,0.97984,0.0001,0.0001,0.0001
1,67.3909,0.89108,1.57116,1.00963,0.90502,1,0.96567,0.60917,1.17667,1.2195,0.97984,0.0001,0.0001,0.0001
2,116.225,0.93542,1.27197,0.97919,0.99484,1,0.995,0.65772,1.1255,1.17773,0.97415,0.0001111,0.0001111,0.0001111
2,122.211,0.93542,1.27197,0.97919,0.99484,1,0.995,0.65772,1.1255,1.17773,0.97415,0.0001111,0.0001111,0.0001111
1,218.328,0.89108,1.57116,1.00963,0.90502,1,0.96567,0.60917,1.17667,1.2195,0.97984,0.0001,0.0001,0.0001
2,347.968,0.93542,1.27197,0.97919,0.99484,1,0.995,0.65772,1.1255,1.17773,0.97415,0.0001111,0.0001111,0.0001111
1,47.8673,1.22453,2.58171,1.15256,0.9465,0.84293,0.93562,0.52297,1.30041,1.65768,1.16713,0.0001,0.0001,0.0001
2,77.8016,1.15924,1.52618,1.06173,0.8845,0.95238,0.97828,0.64677,1.121,1.2324,1.01464,0.0001111,0.0001111,0.0001111
1,45.8029,2.55687,6.25594,2.29798,0.00127,0.38095,0.00147,0.00049,2.68619,6.7511,2.99224,0.0001,0.0001,0.0001
2,89.9768,2.58681,4.39602,2.12676,0.00111,0.33333,0.00179,0.0005,2.82284,4.7381,3.1687,0.0001474,0.0001474,0.0001474
3,134.065,2.24581,3.48701,1.81427,0.00111,0.33333,0.01555,0.00513,2.69055,4.56335,3.18867,0.0001156,0.0001156,0.0001156
1,29.6266,2.05231,2.98582,1.67721,0.00111,0.33333,0.02695,0.00588,2.56004,4.42038,3.16648,0.0001,0.0001,0.0001
2,49.8387,2.04187,2.74079,1.61017,0.00127,0.38095,0.02198,0.00541,2.46437,4.39958,3.10286,0.0001474,0.0001474,0.0001474
3,69.6156,1.85653,2.5058,1.48644,0.00127,0.38095,0.02827,0.00691,2.42168,4.33838,2.99281,0.0001156,0.0001156,0.0001156
