epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.84266,1.19986,3.3927,1.23931,0.00333,1,0.47354,0.42191,0.60606,2.79325,0.88443,4e-05,4e-05,4e-05
2,4.99677,1.15006,3.37818,1.22532,0.00333,1,0.47589,0.42238,0.60518,2.80012,0.8963,9.835e-05,9.835e-05,9.835e-05
3,6.62715,1.03684,3.32273,1.14155,0.00333,1,0.79659,0.39352,1.01767,2.9182,1.10264,0.00015472,0.00015472,0.00015472
4,7.93384,0.94496,3.00418,1.06245,0.00333,1,0.73172,0.51114,0.92542,2.86435,1.0331,0.00020911,0.00020911,0.00020911
5,9.06427,0.88683,2.52178,1.01331,0.00333,1,0.68199,0.53598,0.77601,2.71472,0.89846,0.00026152,0.00026152,0.00026152
6,10.1508,0.92357,2.14112,1.00225,0.00333,1,0.71806,0.5309,0.90305,2.75016,0.9343,0.00031195,0.00031195,0.00031195
7,11.1989,0.93418,1.98474,0.98064,0.00333,1,0.77939,0.60695,0.70223,2.66635,0.93976,0.0003604,0.0003604,0.0003604
8,12.2701,0.93358,1.76714,1.00085,0.00333,1,0.82726,0.6833,0.60054,2.56977,0.88574,0.00040687,0.00040687,0.00040687
9,13.4173,1.00794,1.76594,1.03884,0.67216,0.8,0.835,0.63888,0.74155,2.37672,0.8555,0.00045136,0.00045136,0.00045136
10,14.3706,0.82096,1.42131,0.9745,0.33152,0.8,0.83346,0.62935,0.75048,2.46307,0.86532,0.00049387,0.00049387,0.00049387
11,15.4144,0.87873,1.52876,1.00182,0.01368,1,0.84763,0.69763,0.7054,2.41841,0.87655,0.0005344,0.0005344,0.0005344
12,16.4724,0.83763,1.45653,0.98374,0.01362,1,0.86643,0.69217,0.70651,2.42951,0.88179,0.00057295,0.00057295,0.00057295
13,17.6959,0.93342,1.46339,1.00706,0.01159,0.94053,0.79746,0.66753,0.68908,2.42048,0.95427,0.00060952,0.00060952,0.00060952
14,19.3192,0.81709,1.36746,0.96226,0.80424,0.8,0.79734,0.61778,0.82347,2.42865,1.02158,0.00064411,0.00064411,0.00064411
15,20.864,0.74873,1.39672,0.92106,0.97608,0.8,0.79744,0.62958,0.69153,2.26152,0.91664,0.00067672,0.00067672,0.00067672
16,21.8755,0.8798,1.38697,1.01924,0.96186,0.8,0.79744,0.6361,0.73788,2.08703,0.93821,0.00070735,0.00070735,0.00070735
17,22.9874,0.78019,1.24219,0.98496,0.98087,0.8,0.79743,0.64094,0.80681,1.81967,0.95955,0.000736,0.000736,0.000736
18,23.9985,0.74667,1.23902,0.95107,0.98749,0.8,0.79731,0.63748,0.8018,1.85938,0.93732,0.00076267,0.00076267,0.00076267
19,25.0469,0.71809,1.21866,0.93436,0.98466,0.8,0.80735,0.7254,0.70646,1.82407,0.89144,0.00078736,0.00078736,0.00078736
20,26.1113,0.74493,1.17543,0.96421,0.97973,0.8,0.8575,0.66131,0.70087,1.78276,0.86636,0.00081007,0.00081007,0.00081007
21,27.2123,0.78842,1.13956,0.95783,1,0.9507,0.995,0.79293,0.83181,1.75329,0.94133,0.0008308,0.0008308,0.0008308
22,28.3504,0.8368,1.30933,0.98555,0.98644,0.8,0.90611,0.72004,0.79894,1.67945,0.90747,0.00084955,0.00084955,0.00084955
23,29.464,0.76039,1.23422,0.95479,0.97458,0.8,0.83071,0.71911,0.73231,1.79806,0.87264,0.00086632,0.00086632,0.00086632
24,30.7523,0.77022,1.32543,0.94239,0.96227,0.8,0.92,0.77554,0.71196,1.8715,0.84711,0.00088111,0.00088111,0.00088111
25,32.2957,0.78294,1.12724,0.98682,1,0.96902,0.995,0.8451,0.69397,1.72049,0.84008,0.00089392,0.00089392,0.00089392
26,33.7007,0.72163,1.21595,0.93566,1,0.98096,0.995,0.87508,0.5965,1.63552,0.81672,0.00090475,0.00090475,0.00090475
27,34.8051,0.77912,1.12425,0.94903,1,0.99019,0.995,0.83557,0.67258,1.42028,0.8469,0.0009136,0.0009136,0.0009136
28,35.7906,0.79872,1.12972,0.96537,1,0.99155,0.995,0.8421,0.66734,1.28267,0.86197,0.00092047,0.00092047,0.00092047
29,36.8638,0.73681,1.10018,0.93152,1,0.99155,0.995,0.8421,0.66734,1.28267,0.86197,0.00092536,0.00092536,0.00092536
30,37.9449,0.74127,1.15235,0.91635,1,0.97154,0.995,0.84554,0.66147,1.35514,0.88311,0.00092827,0.00092827,0.00092827
31,39.0257,0.70846,1.0485,0.94968,0.79005,0.7602,0.84,0.6701,0.7778,1.86278,0.93647,0.0009292,0.0009292,0.0009292
32,40.0921,0.73721,1.14923,0.93039,0.79876,1,0.92833,0.68564,0.86581,1.6701,0.96056,0.00092815,0.00092815,0.00092815
33,41.0885,0.71479,1.12228,0.9641,0.79876,1,0.92833,0.68564,0.86581,1.6701,0.96056,0.00092512,0.00092512,0.00092512
34,42.1357,0.67713,0.99851,0.91226,1,0.98966,0.995,0.72823,0.79333,1.27061,0.91412,0.000911,0.000911,0.000911
35,43.2435,0.75853,1.12251,0.95803,1,0.99997,0.995,0.76227,0.86364,1.18652,0.97689,0.000878,0.000878,0.000878
36,44.8183,0.77198,1.00739,0.93601,0.99707,1,0.995,0.73222,0.82546,1.34187,0.93706,0.000845,0.000845,0.000845
37,46.2261,0.6464,1.00077,0.92747,0.99707,1,0.995,0.73222,0.82546,1.34187,0.93706,0.000812,0.000812,0.000812
38,47.2764,0.72593,1.06476,0.94558,0.96325,1,0.995,0.84531,0.63123,1.30547,0.85441,0.000779,0.000779,0.000779
39,48.282,0.68284,1.06434,0.95877,0.93526,1,0.995,0.90507,0.50127,1.21071,0.82644,0.000746,0.000746,0.000746
40,49.3897,0.62464,1.05437,0.91061,0.99069,1,0.995,0.9151,0.58896,1.0237,0.84607,0.000713,0.000713,0.000713
41,50.4207,0.68532,1.01017,0.90385,0.99069,1,0.995,0.9151,0.58896,1.0237,0.84607,0.00068,0.00068,0.00068
42,51.491,0.64082,0.99283,0.88578,0.99321,1,0.995,0.93507,0.51584,0.90972,0.83539,0.000647,0.000647,0.000647
43,52.6005,0.68145,0.94747,0.93479,0.9952,1,0.995,0.93507,0.46724,0.846,0.83508,0.000614,0.000614,0.000614
44,53.6732,0.67063,0.97301,0.91495,1,0.99873,0.995,0.88531,0.52476,0.90832,0.83142,0.000581,0.000581,0.000581
45,54.6595,0.66308,0.92876,0.94323,1,0.99873,0.995,0.88531,0.52476,0.90832,0.83142,0.000548,0.000548,0.000548
46,55.5916,0.64873,0.89812,0.96768,0.99673,1,0.995,0.88531,0.5411,0.87806,0.833,0.000515,0.000515,0.000515
